Abbr,TN10,KH9,KH11,Description
Version,180729,181126,180729,date of latest modification
MG,4,11,11,Maturity group
SEEDLB,4100,2100,2100,number of seeds per pound weight
FILL,5,10,3.1,seed fill rate at 24
DET,1,1,1,0 for determinate 1 for inderteminate
1,1,1,1,pennam equa.
2,0.0125,0.0125,0.01,slope of Vstage
3,17,8,8,max v stage
4,1,1,1,early V and clay content
5,0.085,0.087,0.09,progress rate to R0 before solstice    
6,0.025,0.0262,0.0272,progress rate ro R0 at solstice
7,0.02,0.0212,0.02,progress rate to R0 after solstice    
8,0.1,0.24,0.24,rate R0 to R2                        
9,0.95,0.9656,0.955,slope of R2 end on the RDFRST
10,49,40.068,42.068,intercept of R2 end on the RDFRST
11,0.008,0.01,0.0125,rate R2 to R6                           
12,250,190,200,"length of the plateau R5, dday          "
13,450,280,450,"length of the plateau R6 with no stress, dday"
14,1,1,1,"rate of the decay of the R6 plateau as the stress increases, dday"
15,0.00334,0.00334,0.00334,"rate of the progress towards R7, dday-1"
16,6,5,6.9,R stage to stop vegetative growth
17,0.002,0.002,0.002,Potential elongation / dry weight increase of petioles
18,1,1,0.8,Potential rate of the root weight increase
19,1.5,0.8,2.785,Increase in pod weight / progress in R stages
20,1.5,1,0.955,relates increase in seed weight and FILL --0.80
21,8.16,8.5,8.6,a in relationship between height and V stages h=a*V^(b-1)
22,0.96,0.8,1.08,b in relationship between height and V stages  
23,3,0.5,0.3,Number of branches / plant density
24,1.2,1,1.5,Stem weight / stem elongation                      
25,1.7,1.8,1.81,Increment in leaf area / increment in vegetable stages   
